"name","crimeIndex","pop2019"
"Venezuela","84.8600","28515.8290"
"Papua New Guinea","80.2600","8776.1090"
"South Africa","77.0200","58558.2700"
"Honduras","75.8400","9746.1170"
"Afghanistan","73.2600","38041.7540"
"Trinidad and Tobago","73.1500","1394.9730"
"Brazil","69.4800","211049.5270"
"El Salvador","68.6300","6453.5530"
"Namibia","68.1400","2494.5300"
"Syria","66.9100","17070.1350"
"Jamaica","65.2600","2948.2790"
"Bangladesh","64.9800","163046.1610"
"Puerto Rico","64.7500","2933.4080"
"Nigeria","64.6400","200963.5990"
"Peru","64.5800","32510.4530"
"Kazakhstan","64.2300","18551.4270"
"Argentina","62.9600","44780.6770"
"Kenya","62.3800","52573.9730"
"Libya","61.2600","6777.4520"
"Malaysia","60.6600","31949.7770"
"Dominican Republic","60.6200","10738.9580"
"Fiji","60.5200","889.9530"
"Tanzania","59.8300","58005.4630"
"Somalia","58.7400","15442.9050"
"Mongolia","57.7600","3225.1670"
"Uganda","56.4700","44269.5940"
"Guatemala","56.0500","17581.4720"
"Costa Rica","55.7700","5047.5610"
"Algeria","54.4100","43053.0540"
"Bolivia","54.3100","11513.1000"
"Zimbabwe","53.8400","14645.4680"
"Maldives","53.8300","530.9530"
"Botswana","52.8900","2303.6970"
"Colombia","52.5400","50339.4430"
"Mexico","52.5100","127575.5290"
"Uruguay","52.3300","3461.7340"
"Cambodia","51.8000","16486.5420"
"Ghana","51.5700","30417.8560"
"Morocco","49.5300","36471.7690"
"Ukraine","49.0400","43993.6380"
"Iran","49.0300","82913.9060"
"Ecuador","48.9100","17373.6620"
"Egypt","48.5300","100388.0730"
"Vietnam","48.2200","96462.1060"
"Ethiopia","47.4600","112078.7300"
"Mauritius","47.3400","1269.6680"
"Sweden","47.2100","10036.3790"
"Chile","47.1200","18952.0380"
"United States","46.7300","329064.9170"
"France","46.4500","65129.7280"
"Iraq","46.3500","39309.7830"
"Indonesia","46.2600","270625.5680"
"Ireland","46.1800","4882.4950"
"Moldova","45.7000","4043.2630"
"Panama","45.4700","4246.4390"
"Pakistan","44.5800","216565.3180"
"Italy","44.3500","60550.0750"
"Nicaragua","44.3400","6545.5020"
"United Kingdom","43.6400","67530.1720"
"Bosnia and Herzegovina","43.5700",3301
"Lebanon","43.3800","6855.7130"
"Jordan","42.8900","10101.6940"
"Australia","42.7000","25203.1980"
"Belgium","42.5000","11539.3280"
"India","42.3800","1366417.7540"
"Russia","41.7000","145872.2560"
"Thailand","41.2900","69625.5820"
"Philippines","41.0900","108116.6150"
"New Zealand","40.8900","4783.0630"
"Tunisia","40.6400","11694.7190"
"Sri Lanka","40.1500","21323.7330"
"Albania","40.0200","2880.9170"
"Turkey","39.8600","83429.6150"
"Montenegro","39.6700","627.9870"
"Canada","39.4800","37411.0470"
"Bulgaria","39.3100","7000.1190"
"Greece","39.2900","10473.4550"
"Malta","37.7300","440.3720"
"Serbia","37.6300","8772.2350"
"China","36.7000","1433783.6860"
"Latvia","36.6000","1906.7430"
"Nepal","35.7000","28608.7100"
"Kuwait","35.6100","4207.0830"
"Hungary","35.4100","9684.6790"
"Lithuania","34.8200","2759.6270"
"Germany","34.6000","83517.0450"
"Norway","33.5100","5378.8570"
"Azerbaijan","32.6800","10047.7180"
"Spain","31.0700","46736.7760"
"Israel","30.7100","8519.3770"
"Luxembourg","30.1700","615.7290"
"Portugal","30.1100","10226.1870"
"Poland","29.6700","37887.7680"
"Cyprus","29.6200","1198.5750"
"South Korea","29.2400","51225.3080"
"Slovakia","29.1800","5457.0130"
"Bahrain","29.1800","1641.1720"
"Netherlands","28.5400","17097.1300"
"Saudi Arabia","28.2200","34268.5280"
"Brunei","28.0500","433.2850"
"Romania","27.8400","19364.5570"
"Singapore","27.7000","5804.3370"
"Cuba","27.6200","11333.4830"
"Czech Republic","25.9900","10689.2090"
"Belarus","24.8000","9452.4110"
"Denmark","24.7200","5771.8760"
"Croatia","24.2300","4130.3040"
"Austria","23.2300","8955.1020"
"Iceland","23.1500","339.0310"
"Finland","22.7500","5532.1560"
"Estonia","22.1700","1325.6480"
"Slovenia","22.0100","2078.6540"
"Oman","21.5500","4974.9860"
"Switzerland","21.1800","8591.3650"
"Armenia","20.7800","2957.7310"
"Georgia","20.1800","3996.7650"
"Hong Kong","18.1000","7436.1540"
"Taiwan","16.2200","23773.8760"
"Japan","15.9100","126860.3010"
"United Arab Emirates","15.5200","9770.5290"
"Qatar",12,"2832.0670"
